INFO:root:Start Classifier training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 155	Loss: 0.21047654479026795	Top1 accuracy: 92.66600036621094
DEBUG:root:Epoch: 156	Loss: 0.20502235081195833	Top1 accuracy: 92.8740005493164
DEBUG:root:Epoch: 157	Loss: 0.2026709676551819	Top1 accuracy: 92.91199493408203
DEBUG:root:Epoch: 158	Loss: 0.19430703536987304	Top1 accuracy: 93.2439956665039
DEBUG:root:Epoch: 159	Loss: 0.1857649026632309	Top1 accuracy: 93.48999786376953
DEBUG:root:Epoch: 160	Loss: 0.17672192357063293	Top1 accuracy: 93.86599731445312
DEBUG:root:Epoch: 161	Loss: 0.17485827247619629	Top1 accuracy: 93.87199401855469
DEBUG:root:Epoch: 162	Loss: 0.16478282491207122	Top1 accuracy: 94.30199432373047
DEBUG:root:Epoch: 163	Loss: 0.16028475774049758	Top1 accuracy: 94.2979965209961
DEBUG:root:Epoch: 164	Loss: 0.15034715903759002	Top1 accuracy: 94.70999908447266
DEBUG:root:Epoch: 165	Loss: 0.14124974370479584	Top1 accuracy: 95.08399963378906
DEBUG:root:Epoch: 166	Loss: 0.13788622064113618	Top1 accuracy: 95.14799499511719
DEBUG:root:Epoch: 167	Loss: 0.13548417053222656	Top1 accuracy: 95.31199645996094
DEBUG:root:Epoch: 168	Loss: 0.12495152733325958	Top1 accuracy: 95.61599731445312
DEBUG:root:Epoch: 169	Loss: 0.11815126699328422	Top1 accuracy: 95.91799926757812
DEBUG:root:Epoch: 170	Loss: 0.10833659420490264	Top1 accuracy: 96.25599670410156
DEBUG:root:Epoch: 171	Loss: 0.10907301157474518	Top1 accuracy: 96.14599609375
DEBUG:root:Epoch: 172	Loss: 0.10037995304822922	Top1 accuracy: 96.4939956665039
DEBUG:root:Epoch: 173	Loss: 0.09555787288188934	Top1 accuracy: 96.73199462890625
DEBUG:root:Epoch: 174	Loss: 0.08696157873392105	Top1 accuracy: 96.98199462890625
DEBUG:root:Epoch: 175	Loss: 0.07987272771835327	Top1 accuracy: 97.19200134277344
DEBUG:root:Epoch: 176	Loss: 0.07582546539068222	Top1 accuracy: 97.38399505615234
DEBUG:root:Epoch: 177	Loss: 0.07096533216953278	Top1 accuracy: 97.64199829101562
DEBUG:root:Epoch: 178	Loss: 0.06731649653196335	Top1 accuracy: 97.75199890136719
DEBUG:root:Epoch: 179	Loss: 0.06475951189398765	Top1 accuracy: 97.83799743652344
DEBUG:root:Epoch: 180	Loss: 0.055775283168554304	Top1 accuracy: 98.18199920654297
DEBUG:root:Epoch: 181	Loss: 0.05319657466858625	Top1 accuracy: 98.18799591064453
DEBUG:root:Epoch: 182	Loss: 0.047166116479635235	Top1 accuracy: 98.48400115966797
DEBUG:root:Epoch: 183	Loss: 0.04748165878891945	Top1 accuracy: 98.41399383544922
DEBUG:root:Epoch: 184	Loss: 0.04163209774017334	Top1 accuracy: 98.62999725341797
DEBUG:root:Epoch: 185	Loss: 0.039055881593823435	Top1 accuracy: 98.76599884033203
DEBUG:root:Epoch: 186	Loss: 0.03752263336539269	Top1 accuracy: 98.72999572753906
DEBUG:root:Epoch: 187	Loss: 0.036545989385843275	Top1 accuracy: 98.78599548339844
DEBUG:root:Epoch: 188	Loss: 0.03578794803738594	Top1 accuracy: 98.83200073242188
DEBUG:root:Epoch: 189	Loss: 0.03152807205438614	Top1 accuracy: 98.98400115966797
DEBUG:root:Epoch: 190	Loss: 0.030728955937623977	Top1 accuracy: 99.05199432373047
DEBUG:root:Epoch: 191	Loss: 0.028419528559446336	Top1 accuracy: 99.15599822998047
DEBUG:root:Epoch: 192	Loss: 0.028200744204819203	Top1 accuracy: 99.12799835205078
DEBUG:root:Epoch: 193	Loss: 0.027168993522524835	Top1 accuracy: 99.14199829101562
DEBUG:root:Epoch: 194	Loss: 0.02558309078514576	Top1 accuracy: 99.25399780273438
DEBUG:root:Epoch: 195	Loss: 0.026677446172833442	Top1 accuracy: 99.22000122070312
DEBUG:root:Epoch: 196	Loss: 0.02609277810096741	Top1 accuracy: 99.20800018310547
DEBUG:root:Epoch: 197	Loss: 0.02488817829191685	Top1 accuracy: 99.30400085449219
DEBUG:root:Epoch: 198	Loss: 0.02595529161989689	Top1 accuracy: 99.21199798583984
DEBUG:root:Epoch: 199	Loss: 0.025137796679139138	Top1 accuracy: 99.21399688720703
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs/Mar04_08-33-48_wvK2p9.
